0 netflix 0.0 0.0
1 gmail 243.283928393 278014.656758
2 netflix 0.279827982798 247.847088839
3 netflix 0.271727172717 239.628034531
4 netflix 0.271727172717 239.628034531
5 netflix 0.0 0.0
6 netflix 0.0 0.0
7 netflix 7.07880788079 10098.0829982
8 netflix 50.9175917592 68580.4178513
9 netflix 0.0 0.0
10 netflix 0.989698969897 1213.86278018
11 netflix 0.0 0.0
12 netflix 0.0 0.0
13 netflix 0.0 0.0
14 gmail 2.13171317132 2374.84963834
15 gmail 1.58405840584 1936.81699159
16 netflix 33.9231923192 45605.738475
17 netflix 0.30603060306 341.659920627
18 netflix 1.19941994199 1337.93462913
19 gmail 8.5399539954 11685.851364
20 gmail 14.8221822182 19858.4218262
21 gmail 7.13321332133 9841.92944893
22 gmail 0.628362836284 715.790678698
23 netflix 0.0 0.0
24 gmail 8.39353935394 11025.9750398
25 netflix 0.279527952795 311.435915529
26 netflix 1.47234723472 1939.14492489
27 netflix 0.585358535854 637.847874436
28 gmail 2.19241924192 2395.11288983
29 gmail 0.57095709571 578.362376832
30 gmail 1.40944094409 1555.77395227
31 gmail 0.0 0.0
32 gmail 14.2875287529 17589.9728328
33 netflix 6.43474347435 9046.63858086
34 netflix 6.4400440044 9046.85126577
35 netflix 6.43474347435 9046.63858086
36 netflix 6.42414241424 9044.67088829
37 netflix 6.43474347435 9046.63858086
38 netflix 18.4852485249 26029.2078782
39 netflix 18.4836483648 26027.6018678
40 netflix 6.43474347435 9046.63858086
41 netflix 6.4400440044 9046.85126577
42 netflix 12.4613461346 17577.4926303
43 gmail 0.491549154915 513.95469906
44 netflix 0.0 0.0
45 netflix 20.6671667167 28841.388972
46 netflix 0.464846484648 576.142353589
47 netflix 0.989298929893 1226.36362186
48 netflix 0.910391039104 1104.97406844
49 gmail 10.7348734873 14957.7289879
50 gmail 12.100510051 16516.2480235
51 netflix 20.6544654465 28875.4412619
52 netflix 2.16451645165 2982.72830987
53 netflix 3.23622362236 4461.02430641
54 netflix 0.567856785679 631.189689886
55 gmail 0.297229722972 330.065669893
56 netflix 0.914091409141 1105.10423088
57 unknown 0.115211521152 72.3349611288
58 netflix 0.905890589059 1268.20646495
59 gmail 0.197819781978 196.670538301
60 gmail 0.0 0.0
61 netflix 0.100910091009 54.6805862304
